,name,url
0,Peter Dolman,https://thyroideyedisease.org/physician-directory-member-list/peterdolman/
1,"Lucarelli, Mark",https://thyroideyedisease.org/physician-directory-member-list/mlucarelli/
2,Supervisor,https://thyroideyedisease.org/physician-directory-member-list/superman290/
3,Trina Homburg,https://thyroideyedisease.org/physician-directory-member-list/trinaxpf/
4,"Johnson, Timothy",https://thyroideyedisease.org/physician-directory-member-list/tvjohn2/
5,Nika,https://thyroideyedisease.org/physician-directory-member-list/urwisica/
6,"Aakalu, Vinay",https://thyroideyedisease.org/physician-directory-member-list/vaakalu/
7,Victor Elner,https://thyroideyedisease.org/physician-directory-member-list/velner/
8,Lee Vickie,https://thyroideyedisease.org/physician-directory-member-list/vickiel/
9,Aakalu Vinay,https://thyroideyedisease.org/physician-directory-member-list/vinayaakalu/
10,"Chung, HsiWei Yvonne",https://thyroideyedisease.org/physician-directory-member-list/ychung/
11,Yvonne Vardon,https://thyroideyedisease.org/physician-directory-member-list/yvonnevardonfx/
12,Otto Tracy,https://thyroideyedisease.org/physician-directory-member-list/tracy0326/
13,tonya,https://thyroideyedisease.org/physician-directory-member-list/tonya/
14,"goodglick, todd alan",https://thyroideyedisease.org/physician-directory-member-list/tgoodglick/
15,"Fayers, Tessa",https://thyroideyedisease.org/physician-directory-member-list/tfayers/
16,Thomas Dorsch,https://thyroideyedisease.org/physician-directory-member-list/tdorsch/
17,"Smith, Tai",https://thyroideyedisease.org/physician-directory-member-list/taismith/
18,Kowal Lionel,https://thyroideyedisease.org/physician-directory-member-list/strabism/
19,"Leibowitz, Steven",https://thyroideyedisease.org/physician-directory-member-list/sleibow1/
20,"Lauer, Simeon",https://thyroideyedisease.org/physician-directory-member-list/slauer/
21,Stephen Laquis,https://thyroideyedisease.org/physician-directory-member-list/slaquis/
22,"Hong, Sang",https://thyroideyedisease.org/physician-directory-member-list/shong/
23,Shivani Gupta,https://thyroideyedisease.org/physician-directory-member-list/shivanig/
24,"Freitag, Suzanne",https://thyroideyedisease.org/physician-directory-member-list/sfreitag/
25,"Feldon, Steven",https://thyroideyedisease.org/physician-directory-member-list/sfeldon/
26,Steven Covici,https://thyroideyedisease.org/physician-directory-member-list/scovici/
27,"Couch, Steven",https://thyroideyedisease.org/physician-directory-member-list/scouch/
28,"Shu-Hong (Holly) Chang, MD",https://thyroideyedisease.org/physician-directory-member-list/schangmd/
29,"Baker, Stephen M",https://thyroideyedisease.org/physician-directory-member-list/sbaker/
30,Shah-Desai Sabrina,https://thyroideyedisease.org/physician-directory-member-list/sabrina/
31,"Silkiss, Rona",https://thyroideyedisease.org/physician-directory-member-list/rsilkiss/
32,Scawn Richard,https://thyroideyedisease.org/physician-directory-member-list/rscawn/
33,romegin,https://thyroideyedisease.org/physician-directory-member-list/romegin/
34,"Kersten, Robert",https://thyroideyedisease.org/physician-directory-member-list/robertkersten/
35,Ricardo Morschbacher,https://thyroideyedisease.org/physician-directory-member-list/rmorschbacher/
36,"Dailey, Roger",https://thyroideyedisease.org/physician-directory-member-list/rdailey/
37,Rao Chundury,https://thyroideyedisease.org/physician-directory-member-list/rchundur/
38,"Cho, Raymond I.",https://thyroideyedisease.org/physician-directory-member-list/raycho/
39,Yeatts Patrick,https://thyroideyedisease.org/physician-directory-member-list/pyeatts/
40,Peterson Elizabeth,https://thyroideyedisease.org/physician-directory-member-list/pizzicatto2014/
41,"Saeed, Peerooz",https://thyroideyedisease.org/physician-directory-member-list/peerooz/
42,"Denton, Paul",https://thyroideyedisease.org/physician-directory-member-list/paul-denton/
43,Pari Shams,https://thyroideyedisease.org/physician-directory-member-list/parishams/
44,Pam C,https://thyroideyedisease.org/physician-directory-member-list/pamiezz/
